Carbohydrate:,Fat,saturates,Salt (g),Protein g,Energy (kcal),Energy kg/kcal,Dietary fibre,Of which saturates,Carbohydrates:,Energy kcal,Carbohydrates,(kcal),Protein:,Carbohydrate g,Energy kJ,monounsaturates,Saturates,Energy value,Energy:,kcal,Proteins,Total Omega  3,reviews,Fiber,name,starch,Fibre (g),Protein,Protein (g),item_code,Energy  kJ,Mono unsaturates,and EPA,Energy (kJ),Trans Fat,price,Carbohydrate,Of which Sugars,Fibre,Carbohydrates (g),polyunsaturates,Country of Origin,sugars,unit,Energy,Total fat,Fibre g,Fat:,Polyunsaturates,Monounsaturates,rating,Polyols,Fat (g),Of which Saturates,Salt,Sodium,mono unsaturates,url,Energy kJ/kcal,Sugars,Starch,Of which sugars,Fat g,Salt g,Total Sugars,Salt:,Fats
,4.7g,,,,,,,,,0.1g,0.3g,,,,,,,,,,,,3,,Morliny Wiejska Sausage 100g,,,22g,,7245790,,,,,,£1.00/unit,,,,,,,,unit,554kJ/ 132kcal,,,,,,5.0,,,,2.2g,,,https://www.sainsburys.co.uk/shop/gb/groceries/continental-meats---salami/morliny-wiejska-sausage-80g,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,9,,Pick Hungarian Snack Salami Sticks 100g,,,,,7387722,,,,,,£1.50/unit,,,,,,,,unit,,,,,,,4.4444,,,,,,,https://www.sainsburys.co.uk/shop/gb/groceries/continental-meats---salami/pick-hungarian-snack-salami-sticks-100g,,,,,,,,,
,1.7g,,,,,,,,,115kcal,,,,,,,0.5g,,,,,,9,,"Sainsbury's Cooked Chicken Slices Butter Roast, Taste the Difference 120g",,,24.3g,,7554737,,,,,,£2.70/unit,0.7g,,0g,,,Produced in United Kingdom; Produced from British Chicken,,unit,486kJ,,,,0.4g,0.7g,3.4444,,,,0.96g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-butter-roast-chicken--taste-the-difference-120g,,0.7g,0g,,,,,,
,1.3g,,,,,,,,,110kcal,,,,,,,0.4g,,,,,,11,,Sainsbury's British Roast Chicken Breast Slices x7 135g,,,24.5g,,7103990,,,,,,£1.75/unit,<0.5g,,<0.5g,,,Produced in United Kingdom; Produced from British Chicken,,unit,468kJ,,,,0.4g,0.4g,2.6364,,,,1.35g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-roast-chicken-135g,,<0.5g,<0.5g,,,,,,
,1.9g,,,,,,,,,106kcal,,,,,,,0.6g,,,,,,3,,Sainsbury's British Cooked Chicken Slices 115g,,,21.0g,,7135489,,,,,,£0.80/unit,1.3g,,<0.5g,,,Produced in United Kingdom; Produced from British Chicken,,unit,449kJ,,,,,,2.6667,,,,1.35g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-cooked-chicken-slices-125g,,0.6g,,,,,,,
,5.4g,,,,,,,,,174kcal,,,,,,,1.4g,,,,,,10,,Sainsbury's Cooked Roast Chicken Breast Fillets x2 240g,,,30.4g,,1081213,,,,,,£3.50/unit,0.6g,,1.0g,,,Produced in United Kingdom; Produced using British chicken,,unit,734kJ,,,,1.6g,2.2g,4.0,,,,0.39g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-cooked-roast-chicken-fillets-x2-240g,,0.6g,,,,,,,
,1.3g,0.3g,,,,,,,,,,,,,,,,,,104,,,9,,Bernard Matthews Chicken Chunks 90g,,,21.1g,,7731508,434,,,,,£1.00/unit,1.3g,,,,,,0.4g,unit,,,,,,,2.3333,,,,1.3g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/bernard-matthews-chicken-chunks-100g,,,,,,,,,
,1.2g,,,,,,,,,109kcal,,,,,,,0.5g,,,,,,5,,Sainsbury's Roast Turkey Breast Slices x6 120g,,,23.5g,,7485795,,,,,,£1.75/unit,0.9g,,<0.5g,,,Produced in United Kingdom; Produced using British turkey,,unit,463kJ,,,,,,4.0,,,,1.20g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-roast-turkey-breast-slices-120g,,<0.5g,,,,,,,
,5.4g,,,,,,,,,174kcal,,,,,,,1.4g,,,,,,14,,Sainsbury's British Roast Boneless Chicken Breasts x4 480g,,,30.4g,,6029731,,,,,,£6.50/unit,0.6g,,1.0g,,,Produced in United Kingdom; Produced using British chicken,,unit,734kJ,,,,1.6g,2.2g,3.2143,,,,0.39g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-cooked-boneless-chicken-breasts-x4-480g,,0.6g,,,,,,,
,3.0g,,,,,,,,,122kcal,,,,,,,0.9g,,,,,,11,,"Sainsbury's Roast Chicken Stuffing Topped, Taste the Difference 135g",,,22.3g,,7554683,,,,,,£2.70/unit,1.3g,,<0.5g,,,Produced in United Kingdom; Produced from British chicken and pork,,unit,513kJ,,,,,,4.0909,,,,0.90g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-stuffing-topped-roast-chicken--taste-the-difference-135g,,1.3g,,,,,,,
,0.9g,0.3g,,,,,,,,,,,,,,,,,,110,,,6,,Bernard Matthews Roast Turkey Chunks 90g,,,24.3g,,7449928,467,,,,,£1.00/unit,1.2g,,,,,,1.2g,unit,,,,,,,3.5,,,,0.9g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/bernard-matthew-roast-turkey-chunks-100g,,,,,,,,,
,3.9g,,,,,,,,,124kcal,,,,,,,1.3g,,,,,,2,,Sainsbury's British Cooked Chicken Wafer Thin Sliced 400g,,,19.5g,,1079081,,,,,,£2.00/unit,2.7g,,0g,,,Produced in United Kingdom; Produced from British Chicken,,unit,522kJ,,,,0.7g,1.7g,5.0,,,,1.50g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-wafer-thin-chicken-slices-400g,,<0.5g,2.3g,,,,,,
,1.6g,,,,,,,,,126kcal,,,,,,,0.4g,,,,,,0,,Sainsbury's Chargrilled Chicken Breast Slices 160g,,,27.8g,,7863309,,,,,,£2.50/unit,0g,,,,,Produced in United Kingdom; Produced using British Chicken,,unit,532kJ,,,,,,0.0,,,,0.53g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-chargrilled-chicken-slices-160g,,0g,,,,,,,
,4.8g,,,,,,,,,1.1g,,,,,,,,,,110,,,9,,Bernard Matthews Turkey Ham Wafer Thin 230g,,,12.9g,,3419731,460,,,,,£1.75/unit,3.7g,,,,,,,unit,,,,,,,3.2222,,,,2.4g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/bernard-matthews-turkey-ham-wafer-thin-250g,,,,,,,,,
,1.3g,0.4g,,,,,,,,,,,,,,,,,,119,,,10,,Bernard Matthews Turkey BBQ Chunks 90g,,,20.7g,,7546172,502,,,,,£1.00/unit,5.5g,,,,,,4.2g,unit,,,,,,,3.8,,,,1.1g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/bernard-matthew-turkey-bbq-chunks-100g,,,,,,,,,
,2.3g,,,,,,,,,125kcal,,,,,,,0.8g,,,,,,8,,Sainsbury's Roast Chicken & Stuffing Slices 100g,,,22.4g,,6872116,,,,,,£1.75/unit,3.2g,,1.1g,,,Produced in United Kingdom. Produced from British Chicken,,unit,529kJ,,,,,,2.875,,,,1.10g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-roast-chicken---stuffing--be-good-to-yourself-100g,,,,,,,<0.5g,,
,1.7g,,,,,,,,,117kcal,,,,,,,0.5g,,,,,,10,,Sainsbury's Roast Sliced Chicken Breast 160g,,,23.9g,,7861821,,,,,,£2.00/unit,1.5g,,0g,,,Produced in United Kingdom; Produced using British chicken,,unit,495kJ,,,,,,2.4,,,,0.50g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-roast-sliced-chicken-breast-160g,,0.7g,,,,,,,
,1.0g,0.3g,,,,,,,,,,,,,,,,,,118,,,3,,Bernard Matthews Turkey Chilli Chunks 90g,,,19.6g,,7731506,499,,,,,£1.00/unit,7.6g,,,,,,5.8g,unit,,,,,,,4.6667,,,,1.0g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/bernard-matthews-chilli-turkey-chunks-100g,,,,,,,,,
,2.1g,,,,,,,,,125kcal,,,,,,,0.5g,,,,,,8,,Sainsbury's Tikka Sliced Chicken Breast 160g,,,24.2g,,7861621,,,,,,£2.50/unit,2.1g,,<0.5g,,,Produced in United Kingdom; Produced using British chicken,,unit,526kJ,,,,,,2.25,,,,0.34g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-tikka-sliced-chicken-breast-160g,,1.6g,,,,,,,
,1.9g,,,,,,,,,135kcal,,,,,,,0.5g,,,,,,5,,Sainsbury's Sweet Chilli Sliced Chicken Breast 160g,,,23.4g,,7861608,,,,,,£2.50/unit,6.0g,,0g,,,Produced in United Kingdom; Produced using British chicken,,unit,570kJ,,,,,,3.6,,,,0.52g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-sweet-chilli-sliced-chicken-breast-160g,,4.9g,,,,,,,
,1.7g,,,,,,,,,130kcal,,,,,,,0.4g,,,,,,3,,Sainsbury's Sweet & Smokey Chicken Breast 160g,,,23.6g,,7861637,,,,,,£2.50/unit,4.9g,,<0.5g,,,Produced in United Kingdom; Produced using British chicken,,unit,549kJ,,,,,,3.0,,,,0.50g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-sweet---smokey-chicken-breast-160g,,3.7g,,,,,,,
,1.5g,,,,,,,,,127kcal,,,,,,,0.4g,,,,,,6,,Sainsbury's Cooked Chicken Breast Fillets x2 200g,,,27.9g,,7626240,,,,,,£3.50/unit,<0.5g,,<0.5g,,,Produced in United Kingdom; Produced using British chicken,,unit,537kJ,,,,,,4.8333,,,,0.53g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-skinless-cooked-chicken-fillet-120g,,<0.5g,,,,,,,
,5.6g,,,,,,,,,150kcal,,,,,,,1.5g,,,,,,2,,Deli Express Roast Turkey 150g,,,25.0g,,7815044,,,,,,£2.50/unit,0g,,0g,,,Produced in United Kingdom; Produced using British Turkey,,unit,632kJ,,,,1.1g,2.7g,4.0,,,,1.20g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-roast-turkey-150g,,0g,,,,,,,
,3.2g,,,,,,,,,120kcal,,,,,,,0.9g,,,,,,2,,Sainsbury's Wafer Thin Cooked Chicken 70g,,,20.5g,,7808874,,,,,,£0.50/unit,2.2g,,0g,,,Produced in United Kingdom; Produced from British Chicken,,unit,505kJ,,,,,,3.0,,,,1.35g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-wafer-thin-cooked-chicken-70g,,0.6g,,,,,,,
,3.9g,,,,,,,,,199kcal,,,,,,,,,,,,,4,,Premier Deli Chicken 120g,,,19g,,7728374,,,,,,£0.90/unit,2.1g,0.7g,,,,,,unit,499kJ,,,,,,3.0,,,0.9g,1.5g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/premier-deli-chicken-100g,,,,,,,,,
,1.6g,,,,,,,,,125kcal,,,,,,,0.4g,,,,,,5,,Sainsbury's Chargrilled Chicken Breast Slices 300g,,,27.6g,,7863307,,,,,,£3.50/unit,0g,,,,,Produced in United Kingdom; Produced using British Chicken,,unit,528kJ,,,,,,3.4,,,,0.52g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-chargrilled-chicken-slices-300g-7863307-p-44,,0g,,,,,,,
,6.6g,,,,,,,,,160kcal,,,,,,,1.7g,,,,,,5,,Sainsbury's Roast Chicken Drumsticks 500g,,,24.7g,,7862220,,,,,,£3.00/unit,<0.5g,,0g,,,Produced in United Kingdom; Produced using British chicken,,unit,671kJ,,,,1.9g,2.7g,4.0,,,,0.58g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-roast-chicken-drumsticks-500g,,<0.5g,,,,,,,
,12.5g,,,,,,,,,210kcal,,,,,,,3.1g,,,,,,6,,Sainsbury's Roast Chicken Thighs 500g,,,23.7g,,7862246,,,,,,£3.00/unit,0.7g,,0g,,,Produced in United Kingdom; Produced using British chicken,,unit,877kJ,,,,3.5g,5.3g,4.1667,,,,0.52g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-roast-chicken-thighs-500g,,0.7g,,,,,,,
,9.3g,,,,,,,,,<0.5g,,,,,,3.9g,,,,,,,12,,Sainsbury's Roast Whole Cooked Chicken (approx. 1kg),,,25.3g,,7873697,,,,,,£5.50/unit,1.5g,,<0.5g,,2.6g,,,unit,803kJ/192kcal,,,,,,4.8333,,,,0.57g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-roast-whole-chicken-%28approx-900g---1100g%29,,,,,,,,,
,2.3g,,,,,,,,,141kcal,,,,,,,0.6g,,,,,,1,,Sainsbury's Firecracker Chicken Breast Slices 160g,,,28.5g,,7863340,,,,,,£2.25/unit,1.1g,,,,,Produced in United Kingdom; Produced using British Chicken,,unit,597kJ,,,,,,2.0,,,,0.42g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-firecracker-chicken-slices-160g,,1.1g,,,,,,,
,3.4g,,,,,,,,,139kcal,,,,,,,1.4g,,,,,,3,,Sainsbury's Curried Coconut & Lime Chicken Breast Mini Fillets 120g,,,21.0g,,7861996,,,,,,£1.75/unit,6.0g,,0g,,,Produced in United Kingdom; Produced using British chicken,,unit,585kJ,,,,,,3.6667,,,,0.46g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-curried-coconut---lime-chicken-fillet-120g,,2.9g,,,,,,,
,6.3g,,,,,,,,,162kcal,,,,,,,1.6g,,,,,,2,,Sainsbury's BBQ Chicken Drumsticks 350g,,,20.8g,,7861837,,,,,,£2.50/unit,5.5g,,0g,,,Produced in United Kingdom; Produced using British chicken,,unit,680kJ,,,,1.8g,2.7g,5.0,,,,0.60g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-bbq-chicken-drumsticks-350g,,4.0g,,,,,,,
,11.8g,,,,,,,,,203kcal,,,,,,,3.0g,,,,,,7,,Sainsbury's Beer Bourbon BBQ Chicken Wings 350g,,,20.3g,,7863314,,,,,,£2.50/unit,3.2g,,,,,Produced in United Kingdom; Produced using British Chicken,,unit,849kJ,,,,,,2.4286,,,,0.56g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-beer-bourbon-bbq-chicken-wings-350g,,2.3g,,,,,,,
1.0g,,,,,,,,,,1.0g,,,16.0g,,,,,,848kJ/204kcal,,,,5,,Najma Smoked Sliced Turkey Rashers 150g,,,,,7600592,,,,,,£2.00/unit,,,,,,,,unit,,,,15.0g,,,4.2,,,,,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/volys-smoked-sliced-turkey-rashers-150g,,,,,,,,2.1g,
,1.4g,,,,,,,,,141kcal,,,,,,,0.4g,,,,,,2,,Sainsbury's Firecracker Chicken Breast Mini Fillets 120g,,,27.3g,,7863377,,,,,,£2.00/unit,4.9g,,,,,Produced in United Kingdom; Produced using British Chicken,,unit,598kJ,,,,,,4.0,,,,0.64g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-firecracker-chicken-mini-fillet-120g,,3.1g,,,,,,,
,2.2g,,,,,,,,,137kcal,,,,,,,0.6g,,,,,,3,,Sainsbury's Tikka Chicken Breast Chunks 250g,,,26.7g,,7862206,,,,,,£4.00/unit,2.4g,,<0.5g,,,Produced in United Kingdom; Produced using British chicken,,unit,578kJ,,,,,,3.6667,,,,0.53g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-tikka-chicken-breast-chunks-250g,,1.9g,,,,,,,
,12.6g,,,,,,,,,211kcal,,,,,,,3.2g,,,,,,4,,Sainsbury's Firecracker Chicken Wings 350g,,,18.9g,,7863332,,,,,,£2.50/unit,4.9g,,,,,Produced in United Kingdom; Produced using British Chicken,,unit,879kJ,,,,,,3.0,,,,0.67g,,,https://www.sainsburys.co.uk/shop/gb/groceries/cooked-chicken---turkey-314373-44/sainsburys-firecracker-chicken-wings-350g,,1.0g,,,,,,,
,5.4g,,,,,,,,,133kcal,,,,,,,1.5g,,,,,,0,,Sainsbury's Wafer Thin British Chicken Slices 150g,,,18.6g,,7916565,,,,,,£0.75/unit,2.5g,,<0.5g,,,Produced in United Kingdom; Produced from British Chicken,,unit,560kJ,,,,1.4g,2.2g,0.0,,,,1.35g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1219800&urlRequestType=Base&categoryId=314373&catalogId=10133&langId=44,,<0.5g,2.3g,,,,,,
,25.0g,,,,,,,,,2.0g,,,,,,,,,,,,,8,,Herta Frankfurter Hot Dogs x10 350g,,,12.5g,,2319131,,,,,,£2.00/unit,2.0g,,1.2g,,,,,unit,1181 kJ,,,,,,4.875,,,,1.60g,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/herta-frankfurters-x10-350g,,,,,,,,,
,23.4g,,,,,,,,,310kcal,,,,,,,8.3g,,,,,,6,,Sainsbury's Pork Cocktail Sausages x40 400g,,,11.9g,,1374230,,,,,,£2.00/unit,12.6g,,0.8g,,,Produced in United Kingdom; Produced using British Pork,,unit,1289kJ,,,,3.8g,10.2g,4.1667,,,,1.07g,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/sainsburys-cocktail-sausages-x40,,1.4g,11.2g,,,,,,
,23.4g,,,,,,,,,310kcal,,,,,,,8.3g,,,,,,3,,Sainsbury's Pork Cocktail Sausages Mini x7 70g,,,11.9g,,7552259,,,,,,£0.75/unit,12.6g,,0.8g,,,Produced in United Kingdom; Produced using British Pork,,unit,1289kJ,,,,3.8g,10.2g,2.0,,,,1.07g,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/sainsburys-cocktail-sausage-snack-bag-x10-70g,,1.4g,11.2g,,,,,,
,13.6g,,,,,,,2.9g,,,,,,,,,,,,,,,12,,Taste Original Cooked Mini Chicken Satay x12 120g,,,19.9g,,3951200,,,,,,£2.00/unit,3.1g,,1.2g,,,,,unit,903kJ / 217kcal,,,,,,4.1667,,,,1.58g,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/taste-original-mini-chicken-satay-x12,,,,3.0g,,,,,
,31g,,,,,,,13g,,400kcal,5.5g,,,,,,,,,,,,2,,Peperami Mini Original 10x10g,,,26g,,6523373,,,,,,£2.50/unit,,,,,,,,unit,1662kJ,,,,,,4.5,,,,4.1g,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/peperami-standard-minis-x10-10g,,,,1.8g,,,,,
,11g,,,,,,,,,0.9g,,,,,,,,,,,,,3,,Fridge Raiders Slow Roasted Flavour Chicken Bites 60g,,,21g,,6466558,,,,,,£0.70/unit,5.6g,,,,,,,unit,874kJ/209kcal,,,,,,4.3333,,,,1.5g,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/fridge-raiders-roast-chicken-bites-60g,,,,,,,,,
,10g,,,,,,,,,1.1g,,,,,,,,,,,,,3,,Fridge Raiders Slow Roasted Flavour Chicken Bites Mini Packs 3x22.5g,,,21g,,7604201,,,,,,£1.45/unit,3.2g,,,,,,,unit,794kJ/190kcal,,,,,,5.0,,,,1.6g,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/mattessons-fridge-raiders-roast-flavour-x3-25g,,,,,,,,,
,28.5g,,,,,,,,,,,,,,,,,,,,,,3,,Mattessons Original Smoked Pork Sausage 200g,,,12.8g,,7636198,,,,,,£1.75/unit,3.6g,0.0g,,,,,,unit,1332kJ/318kcal,,,,,,5.0,,,12.5g,2.2g,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/mattessons-smoked-pork-sausage--original-200g,,,,,,,,,
,14g,,,,,,,,,1.1g,,,,,,,,,,,,,3,,Fridge Raiders Southern Style Flavour Chicken Bites 60g,,,19g,,7192471,,,,,,£0.70/unit,4.2g,,,,,,,unit,923kJ/221kcal,,,,,,3.3333,,,,1.4g,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/fridge-raiders-southern-fried-bite-60g,,,,,,,,,
,15.0g,,,,,,,,,1.5g,,,,,,,,,,,,,7,,Herta Chicken Frankfurter Hot Dogs x10 350g,,,14.0g,,6354911,,,,,,£2.00/unit,1.5g,,1.0g,,,,,unit,827 kJ,,,,,,4.2857,,,,1.80g,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/herta-chicken-frankfurters-x10-350g,,,,,,,,,
,20.0g,,,,,,,,,,,,,,,,,,,,,,1,,Mattessons Reduced Fat Smoked Pork Sausage 200g,,,16g,,2956145,,,,,,£1.75/unit,0.0g,0.0g,,,,,,unit,990kJ/240kcal,,,,,,4.0,,,9.0g,2.1g,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/mattessons-smoked-pork-sausage-reduced-fat-original-227g,,,,,,,,,
,44g,,,,,,,18g,,,,,,,,,,,,,,,1,,Peperami Original 5x22.5g,,,23g,,7858230,,,,,,£1.50/unit,2.2g,,,,,,,unit,2056kJ 497kcal,,,,,,3.0,,,,3.9g,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/peperami-original-5x225g,,,,2g,,,,,
,25.0g,,,,,,,,,2.0g,,,,,,,,,,,,,0,,Herta Frankfurter Hot Dogs x4 140g,,,12.5g,,2247854,,,,,,£1.30/unit,2.0g,,1.2g,,,,,unit,1181 kJ,,,,,,0.0,,,,1.60g,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/herta-frankfurters-x4-140g,,,,,,,,,
,25.0g,,,,,,,,,2.0g,,,,,,,,,,,,,2,,Herta Frankfurter Hot Dogs Jumbo x4 360g,,,12.0g,,2364179,,,,,,£2.50/unit,2.0g,,1.4g,,,,,unit,1174 kJ,,,,,,5.0,,,,1.60g,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/herta-frankfurters-jumbo-x4-360g,,,,,,,,,
,30.4g,,,,,,,,,366kcal,,,,,,,12.4g,,,,,,8,,Sainsbury's Polish Kabanos 150g,,,23.0g,,1296297,,,,,,£1.50/unit,<0.5g,,<0.5g,,,Produced in Poland. Produced using Polish or German Pork,,unit,1518kJ,,,,,,4.0,,,,3.75g,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/sainsburys-polish-kabanos-150g,,,,,,,<0.5g,,
,10g,,,,,,,,,1.1g,,,,,,,,,,,,,23,,Fridge Raiders Slow Roasted Flavour Chicken Bites Mini Packs 6x22.5g,,,21g,,7814910,,,,,,£2.45/unit,3.2g,,,,,,,unit,794kJ/190kcal,,,,,,4.3913,,,,1.6g,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/mattessons-fridge-raiders-roast-multipack-6x25g,,,,,,,,,
,4.7g,,,,,,,,,0.1g,0.3g,,,,,,,,,,,,3,,Morliny Wiejska Sausage 100g,,,22g,,7245790,,,,,,£1.00/unit,,,,,,,,unit,554kJ/ 132kcal,,,,,,5.0,,,,2.2g,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/morliny-wiejska-sausage-80g,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,9,,Pick Hungarian Snack Salami Sticks 100g,,,,,7387722,,,,,,£1.50/unit,,,,,,,,unit,,,,,,,4.4444,,,,,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/pick-hungarian-snack-salami-sticks-100g,,,,,,,,,
,28.5g,,,,,,,,,,,,,,,,,,,,,,1,,Mattessons Original Smoked Pork Sausage Family Pack 325g,,,12.8g,,7698572,,,,,,£2.00/unit,3.6g,0.0g,,,,,,unit,1332kJ/318kcal,,,,,,5.0,,,12.5g,2.2g,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/mattessons-smoked-pork-sausage-325g,,,,,,,,,
,22.6g,,,,,,,,,306kcal,,,,,,,8.3g,,,,,,2,,"Sainsbury's Share Lincolnshre Cocktail Sausages, Taste the Difference 260g",,,17.3g,,7690497,,,,,,£2.50/unit,7.7g,,1.3g,,,Produced in United Kingdom; Produced using British Pork,,unit,1270kJ,,,,,,4.5,,,,1.51g,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/sainsburys-share-lincolnshre-cocktail-sausages--taste-the-difference-260g,,1.6g,,,,,,,
,44g,,,,,,,18g,,,,,,,,,,,,,,,3,,Peperami Hot 5x22.5g,,,22g,,7858139,,,,,,£1.50/unit,3.2g,,,,,,,unit,2056kJ 497kcal,,,,,,4.3333,,,,4g,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/peperami-hot-x-5-225g,,,,2.4g,,,,,
,23.4g,,,,,,,,,310kcal,,,,,,,8.3g,,,,,,2,,Sainsbury's Share Mini Pork Cocktail Sausages x35 252g,,,11.9g,,7174671,,,,,,£1.75/unit,12.6g,,0.8g,,,Produced in United Kingdom; Produced using British Pork,,unit,1289kJ,,,,3.8g,10.2g,3.0,,,,1.07g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1220450&urlRequestType=Base&categoryId=314375&catalogId=10206&langId=44,,1.4g,11.2g,,,,,,
,9.2g,,,,,,,,,0.9g,,,,,,,,,,,,,1,,Fridge Raiders Southern Style Flavour Chicken Bites Mini Packs  6x22.5g,,,17g,,7814912,,,,,,£2.45/unit,4.2g,,,,,,,unit,696kJ/166kcal,,,,,,4.0,,,,1.3g,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/mattessons-fridge-raiders-southern-fried-multipack-6x25g,,,,,,,,,
"5,3 g",,,,,,,,,,"1,9 g",,,"24,0 g",,,,,,2274 kJ/ 549 kcal,,,,1,,Tarczynski Pork Kabanos 120g,,,,,7736157,,,,,,£1.50/unit,,,,,,,,unit,,,,"48,0 g",,,4.0,,,,,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/tarczynski-pork-kabanos-120g,,,,,,,,"3,1 g",
,44g,,,,,,,18g,,,2.5g,,,,,,,,,,,,0,,Peperami Snack Pack Original 50g,,,26g,,7794127,,,,,,£1.50/unit,,,,,,,,unit,2096kJ 506kcal,,,,,,0.0,,,,4.3g,,,https://www.sainsburys.co.uk/shop/gb/groceries/snacking---cooked-sausage-44/peperami-snack-pack-original-50g,,,,2.2g,,,,,
